lb01_id_lb,lb02_id_punktu_poczatkowego,lb03_id_punktu_koncowego,lb04_medium_transmisyjne,lb05_nr_pozwolenia_radiowego,lb06_pasmo_radiowe,lb07_system_transmisyjny,lb08_przepustowosc,lb09_mozliwosc_udostepniania
"LB0017","WW_W0005","WW_W0114","radiowe na częstotliwości ogólnodostępnej","","5.65","WiFi","14","Nie"
"LB0018","WW_W0006","WW_W0009","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","15","Nie"
"LB0019","WW_W0007","WW_W0014","radiowe na częstotliwości ogólnodostępnej","","5.17","WiFi","14","Nie"
"LB0020","WW_W0007","WW_W0021","radiowe na częstotliwości ogólnodostępnej","","5.25","WiFi","17","Nie"
"LB0021","WW_W0007","WW_W0086","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","19","Nie"
"LB0022","WW_W0007","WW_W0105","radiowe na częstotliwości ogólnodostępnej","","5.33","WiFi","07","Nie"
"LB0023","WW_W0007","WW_W0107","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","12","Nie"
"LB0024","WW_W0008","WW_W0100","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","12","Nie"
"LB0025","WW_W0009","WW_W0010","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","07","Nie"
"LB0026","WW_W0009","WW_W0116","radiowe na częstotliwości ogólnodostępnej","","5.65","WiFi","11","Nie"
"LB0027","WW_W0009","WW_W0125","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","12","Nie"
"LB0028","WW_W0009","WW_W0126","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","11","Nie"
"LB0029","WW_W0010","WW_W0011","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","11","Nie"
"LB0030","WW_W0010","WW_W0124","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","07","Nie"
"LB0031","WW_W0011","WW_W0012","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","13","Nie"
"LB0032","WW_W0011","WW_W0118","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","17","Nie"
"LB0033","WW_W0014","WW_W0106","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","12","Nie"
"LB0034","WW_W0014","WW_W0109","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","12","Nie"
"LB0035","WW_W0014","WW_W0110","radiowe na częstotliwości ogólnodostępnej","","5.17","WiFi","12","Nie"
"LB0036","WW_W0015","WW_W0017","radiowe na częstotliwości ogólnodostępnej","","5.33","WiFi","19","Nie"
"LB0037","WW_W0015","WW_W0065","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","12","Nie"
"LB0038","WW_W0015","WW_W0102","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","12","Nie"
"LB0039","WW_W0015","WW_W0104","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","09","Nie"
"LB0040","WW_W0016","WW_W0043","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","11","Nie"
"LB0041","WW_W0016","WW_W0044","radiowe na częstotliwości ogólnodostępnej","","5.33","WiFi","12","Nie"
"LB0042","WW_W0016","WW_W0045","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","16","Nie"
"LB0043","WW_W0016","WW_W0046","radiowe na częstotliwości ogólnodostępnej","","5.33","WiFi","13","Nie"
"LB0044","WW_W0016","WW_W0049","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","13","Nie"
"LB0045","WW_W0016","WW_W0055","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","12","Nie"
"LB0046","WW_W0017","WW_W0018","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","17","Nie"
"LB0047","WW_W0017","WW_W0050","radiowe na częstotliwości ogólnodostępnej","","5.25","WiFi","12","Nie"
"LB0048","WW_W0017","WW_W0088","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","13","Nie"
"LB0049","WW_W0017","WW_W0093","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","11","Nie"
"LB0050","WW_W0017","WW_W0094","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","09","Nie"
"LB0051","WW_W0018","WW_W0019","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","17","Nie"
"LB0052","WW_W0018","WW_W0020","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","13","Nie"
"LB0053","WW_W0018","WW_W0090","radiowe na częstotliwości ogólnodostępnej","","5.17","WiFi","07","Nie"
"LB0054","WW_W0019","WW_W0059","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","13","Nie"
"LB0055","WW_W0019","WW_W0060","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","12","Nie"
"LB0056","WW_W0020","WW_W0089","radiowe na częstotliwości ogólnodostępnej","","5.25","WiFi","07","Nie"
"LB0057","WW_W0021","WW_W0022","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","13","Nie"
"LB0058","WW_W0021","WW_W0031","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","13","Nie"
"LB0059","WW_W0021","WW_W0040","radiowe na częstotliwości ogólnodostępnej","","5.17","WiFi","12","Nie"
"LB0060","WW_W0021","WW_W0076","radiowe na częstotliwości ogólnodostępnej","","5.25","WiFi","13","Nie"
"LB0061","WW_W0021","WW_W0095","radiowe na częstotliwości ogólnodostępnej","","5.65","WiFi","09","Nie"
"LB0062","WW_W0021","WW_W0097","radiowe na częstotliwości ogólnodostępnej","","5.65","WiFi","11","Nie"
"LB0063","WW_W0021","WW_W0098","radiowe na częstotliwości ogólnodostępnej","","5.33","WiFi","11","Nie"
"LB0064","WW_W0021","WW_W0101","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","12","Nie"
"LB0065","WW_W0021","WW_W0113","radiowe na częstotliwości ogólnodostępnej","","5.25","WiFi","07","Nie"
"LB0066","WW_W0022","WW_W0023","radiowe na częstotliwości ogólnodostępnej","","5.33","WiFi","17","Nie"
"LB0067","WW_W0022","WW_W0119","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","13","Nie"
"LB0068","WW_W0022","WW_W0140","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","11","Nie"
"LB0069","WW_W0023","WW_W0024","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","12","Nie"
"LB0070","WW_W0023","WW_W0025","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","13","Nie"
"LB0071","WW_W0023","WW_W0036","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","09","Nie"
"LB0072","WW_W0023","WW_W0037","radiowe na częstotliwości ogólnodostępnej","","5.17","WiFi","12","Nie"
"LB0073","WW_W0025","WW_W0026","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","09","Nie"
"LB0074","WW_W0025","WW_W0028","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","13","Nie"
"LB0075","WW_W0025","WW_W0029","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","12","Nie"
"LB0076","WW_W0026","WW_W0027","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","08","Nie"
"LB0077","WW_W0028","WW_W0029","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","12","Nie"
"LB0078","WW_W0028","WW_W0030","radiowe na częstotliwości ogólnodostępnej","","5.33","WiFi","11","Nie"
"LB0079","WW_W0031","WW_W0032","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","11","Nie"
"LB0080","WW_W0031","WW_W0033","radiowe na częstotliwości ogólnodostępnej","","5.33","WiFi","07","Nie"
"LB0081","WW_W0031","WW_W0035","radiowe na częstotliwości ogólnodostępnej","","5.17","WiFi","12","Nie"
"LB0082","WW_W0031","WW_W0036","radiowe na częstotliwości ogólnodostępnej","","5.65","WiFi","07","Nie"
"LB0083","WW_W0033","WW_W0034","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","07","Nie"
"LB0084","WW_W0037","WW_W0038","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","11","Nie"
"LB0085","WW_W0038","WW_W0039","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","09","Nie"
"LB0086","WW_W0040","WW_W0041","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","10","Nie"
"LB0087","WW_W0040","WW_W0042","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","11","Nie"
"LB0088","WW_W0046","WW_W0047","radiowe na częstotliwości ogólnodostępnej","","5.17","WiFi","13","Nie"
"LB0089","WW_W0047","WW_W0048","radiowe na częstotliwości ogólnodostępnej","","5.33","WiFi","11","Nie"
"LB0090","WW_W0050","WW_W0051","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","12","Nie"
"LB0091","WW_W0051","WW_W0052","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","14","Nie"
"LB0092","WW_W0051","WW_W0053","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","16","Nie"
"LB0093","WW_W0053","WW_W0054","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","14","Nie"
"LB0094","WW_W0055","WW_W0056","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","12","Nie"
"LB0095","WW_W0055","WW_W0057","radiowe na częstotliwości ogólnodostępnej","","5.25","WiFi","07","Nie"
"LB0096","WW_W0055","WW_W0058","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","12","Nie"
"LB0097","WW_W0058","WW_W0068","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","13","Nie"
"LB0098","WW_W0061","WW_W0062","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","11","Nie"
"LB0099","WW_W0061","WW_W0063","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","07","Nie"
"LB0100","WW_W0065","WW_W0066","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","07","Nie"
"LB0101","WW_W0065","WW_W0067","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","11","Nie"
"LB0102","WW_W0065","WW_W0068","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","14","Nie"
"LB0103","WW_W0065","WW_W0072","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","14","Nie"
"LB0104","WW_W0068","WW_W0069","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","13","Nie"
"LB0105","WW_W0068","WW_W0071","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","09","Nie"
"LB0106","WW_W0069","WW_W0070","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","11","Nie"
"LB0107","WW_W0072","WW_W0073","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","12","Nie"
"LB0108","WW_W0073","WW_W0074","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","11","Nie"
"LB0109","WW_W0074","WW_W0075","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","09","Nie"
"LB0110","WW_W0076","WW_W0077","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","13","Nie"
"LB0111","WW_W0076","WW_W0079","radiowe na częstotliwości ogólnodostępnej","","5.65","WiFi","12","Nie"
"LB0112","WW_W0076","WW_W0080","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","12","Nie"
"LB0113","WW_W0077","WW_W0078","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","08","Nie"
"LB0114","WW_W0080","WW_W0081","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","11","Nie"
"LB0115","WW_W0080","WW_W0082","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","07","Nie"
"LB0116","WW_W0083","WW_W0084","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","12","Nie"
"LB0117","WW_W0083","WW_W0085","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","15","Nie"
"LB0118","WW_W0083","WW_W0086","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","11","Nie"
"LB0119","WW_W0083","WW_W0119","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","13","Nie"
"LB0120","WW_W0086","WW_W0087","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","12","Nie"
"LB0121","WW_W0086","WW_W0113","radiowe na częstotliwości ogólnodostępnej","","5.25","WiFi","13","Nie"
"LB0122","WW_W0088","WW_W0091","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","10","Nie"
"LB0123","WW_W0098","WW_W0099","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","11","Nie"
"LB0124","WW_W0102","WW_W0103","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","07","Nie"
"LB0125","WW_W0107","WW_W0108","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","12","Nie"
"LB0126","WW_W0109","WW_W0112","radiowe na częstotliwości ogólnodostępnej","","5.25","WiFi","12","Nie"
"LB0127","WW_W0113","WW_W0115","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","12","Nie"
"LB0128","WW_W0119","WW_W0120","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","08","Nie"
"LB0129","WW_W0119","WW_W0121","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","10","Nie"
"LB0130","WW_W0119","WW_W0122","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","10","Nie"
"LB0131","WW_W0121","WW_W0123","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","07","Nie"
"LB0132","WW_W0127","WW_W0128","radiowe na częstotliwości ogólnodostępnej","","5.17","WiFi","15","Nie"
"LB0133","WW_W0127","WW_W0131","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","12","Nie"
"LB0134","WW_W0127","WW_W0138","radiowe na częstotliwości ogólnodostępnej","","5.17","WiFi","16","Nie"
"LB0135","WW_W0128","WW_W0129","radiowe na częstotliwości ogólnodostępnej","","5.17","WiFi","12","Nie"
"LB0136","WW_W0129","WW_W0130","radiowe na częstotliwości ogólnodostępnej","","5.25","WiFi","08","Nie"
"LB0137","WW_W0131","WW_W0132","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","07","Nie"
"LB0138","WW_W0131","WW_W0135","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","11","Nie"
"LB0139","WW_W0132","WW_W0133","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","07","Nie"
"LB0140","WW_W0132","WW_W0134","radiowe na częstotliwości ogólnodostępnej","","5.25","WiFi","09","Nie"
"LB0141","WW_W0135","WW_W0136","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","08","Nie"
"LB0142","WW_W0135","WW_W0137","radiowe na częstotliwości ogólnodostępnej","","5.17","WiFi","11","Nie"
"LB0143","WW_W0138","WW_W0139","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","08","Nie"
"LB0144","WW_W0138","WW_W0140","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","10","Nie"
"LB0145","WW_W0140","WW_W0141","radiowe na częstotliwości ogólnodostępnej","","5.65","WiFi","08","Nie"
"LB0146","WW_W0008","WW_W0013","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","18","Nie"
"LB0147","WW_W0013","WW_W0142","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","16","Nie"
"LB0148","WW_W0026","WW_W0096","radiowe na częstotliwości ogólnodostępnej","","5.33","WiFi","09","Nie"
"LB0149","WW_W0013","WW_W0014","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","18","Nie"
"LB0150","WW_W0014","WW_W0112","radiowe na częstotliwości ogólnodostępnej","","5.17","WiFi","12","Nie"
"LB0151","WW_W0014","WW_W0148","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","09","Nie"
"LB0152","WW_W0014","WW_W0149","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","12","Nie"
"LB0153","WW_W0015","WW_W0150","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","09","Nie"
"LB0154","WW_W0016","WW_W0145","radiowe na częstotliwości ogólnodostępnej","","5.33","WiFi","13","Nie"
"LB0155","WW_W0019","WW_W0146","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","18","Nie"
"LB0156","WW_W0023","WW_W0031","radiowe na częstotliwości ogólnodostępnej","","5.29","WiFi","14","Nie"
"LB0157","WW_W0031","WW_W0144","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","13","Nie"
"LB0158","WW_W0041","WW_W0143","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","11","Nie"
"LB0159","WW_W0053","WW_W0142","radiowe na częstotliwości ogólnodostępnej","","5.21","WiFi","18","Nie"
"LB0160","WW_W0142","WW_W0145","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","16","Nie"
"LB0161","WW_W0143","WW_W0144","radiowe na częstotliwości ogólnodostępnej","","5.57","WiFi","12","Nie"
"LB0162","WW_W0146","WW_W0147","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","09","Nie"
"LB0163","WW_W0015","WW_W0151","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","18","Nie"
"LB0164","WW_W0001","WW_W0140","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","12","Nie"
"LB0165","WW_W0007","WW_W0111","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","12","Nie"
"LB0166","WW_W0107","WW_W0111","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","12","Nie"
